id,name,popularity,duration_min,release_year,tempo_category,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
2PIvq1pGrUjY007X5y1UpM,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",79,4.2,2014,medium,0.659,0.381,2,-5.922,0,0.0304,0.385,0.0,0.0972,0.426,119.844,3
4G92yYrUs0cvY7G41YRI0z,Jealous,79,4.79,2014,medium,0.439,0.153,1,-8.95,1,0.0479,0.874,0.0,0.107,0.104,116.76,3
7xoUc6faLbCqZO6fQEYprd,One Last Time,79,3.29,2014,medium,0.628,0.593,8,-5.036,1,0.0323,0.093,1.65e-06,0.096,0.104,125.026,4
7bPWdJgx8vek7S5i5yAtvG,Chemtrails Over The Country Club,79,4.52,2021,fast,0.334,0.276,4,-13.125,0,0.0643,0.877,0.000249,0.113,0.429,201.025,3
14BH4qO7pgCmIe6mgLKOK3,Someone To You,79,3.66,2017,slow,0.468,0.936,2,-3.683,1,0.0455,0.00568,0.0,0.24,0.663,75.05,4
5N5k9nd479b1xpDZ4usjrg,Promises (with Sam Smith),79,3.56,2018,medium,0.781,0.768,11,-5.991,1,0.0394,0.0119,4.91e-06,0.325,0.486,123.07,4
07MW63ok3ptSKwaTWEN0o8,Weak,79,2.66,2021,medium,0.617,0.451,7,-9.323,1,0.0584,0.627,0.0,0.267,0.487,127.923,4
2eAvDnpXP5W0cVtiI0PUxV,Dandelions,79,3.9,2017,medium,0.609,0.692,1,-2.958,1,0.0259,0.0157,0.0,0.0864,0.454,116.959,3
3AzjcOeAmA57TIOr9zF1ZW,Physical,79,3.23,2020,fast,0.647,0.844,0,-3.756,1,0.0457,0.0137,0.000658,0.102,0.746,146.967,4
5xEM5hIgJ1jjgcEBfpkt2F,Complicated,79,4.08,2002,slow,0.585,0.776,5,-5.898,1,0.0459,0.0572,7.74e-06,0.3,0.427,77.987,4
3YBZIN3rekqsKxbJc9FZko,Paradise City,79,6.76,1987,medium,0.273,0.952,11,-8.762,1,0.0843,0.0169,0.0111,0.142,0.472,100.271,4
3CA9pLiwRIGtUBiMjbZmRw,Nice For What,79,3.51,2018,medium,0.585,0.909,8,-6.474,1,0.0707,0.0891,9.7e-05,0.119,0.758,93.372,4
2G7V7zsVDxg1yRsu7Ew9RJ,In My Feelings,79,3.63,2018,medium,0.835,0.626,1,-5.833,1,0.125,0.0589,6e-05,0.396,0.35,91.03,4
1Pmp486RrLRkaEkE3HFHXP,Who's Laughing Now,79,3.01,2020,fast,0.648,0.641,7,-5.521,1,0.0389,0.00565,3.63e-06,0.109,0.505,184.021,4
6Pgkp4qUoTmJIPn7ReaGxL,Without You (feat. Sandro Cavazza),79,3.03,2017,fast,0.662,0.858,2,-4.844,1,0.0428,0.00163,0.0,0.0456,0.295,133.993,4
4yugZvBYaoREkJKtbG08Qr,Take It Easy - 2013 Remaster,79,3.53,1972,fast,0.575,0.67,7,-10.39,1,0.0318,0.343,4.95e-06,0.129,0.74,139.191,4
2p8IUWQDrpjuFltbdgLOag,After Hours,79,6.02,2020,medium,0.664,0.572,5,-6.099,0,0.0305,0.0811,0.00604,0.121,0.143,108.959,4
2Ch7LmS7r2Gy2kc64wv3Bz,Die For You,79,4.34,2016,fast,0.582,0.525,1,-7.163,0,0.0627,0.111,0.0,0.134,0.51,133.249,4
4Ws314Ylb27BVsvlZOy30C,Lovesick Girls,79,3.25,2020,medium,0.654,0.707,6,-5.661,1,0.0664,0.00559,0.0,0.0873,0.448,127.97,4
2Cd9iWfcOpGDHLz6tVA3G4,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),79,3.38,2010,medium,0.766,0.873,11,-6.381,0,0.143,0.00627,0.0,0.0764,0.743,126.988,4
0fySG6A6qLE8IvDpayb5bM,VIBEZ,79,2.42,2019,fast,0.768,0.652,1,-2.708,0,0.307,0.113,0.0,0.107,0.777,154.187,4
5ZULALImTm80tzUbYQYM9d,Dance Monkey,79,3.49,2019,medium,0.824,0.588,6,-6.4,0,0.0924,0.692,0.000104,0.149,0.513,98.027,4
5rAUZy2eDdegBxUVYxePK2,In The End - Mellen Gi Remix,79,3.64,2019,slow,0.618,0.611,7,-6.654,0,0.11,0.477,0.0333,0.162,0.224,88.07,4
3ovjw5HZZv43SxTwApooCM,Wind Of Change,79,5.21,1990,fast,0.452,0.524,0,-10.108,1,0.0351,0.315,0.0,0.103,0.246,151.505,4
4vVTI94F9uJ8lHNDWKv0i2,Eenie Meenie,79,3.37,2010,medium,0.72,0.607,1,-4.168,1,0.0322,0.0543,0.0,0.113,0.828,121.223,4
48QmG1dfvMuYLxMPt7KSRA,No Lie,79,3.69,2018,medium,0.742,0.882,7,-2.862,1,0.117,0.0466,0.0,0.206,0.463,102.04,4
1s59X35jDULAyOGmBuTAnd,Yo Ya No Vuelvo Contigo - En Vivo,79,4.01,2019,medium,0.643,0.35,4,-5.924,0,0.0783,0.784,0.0,0.102,0.541,118.199,1
36CiGk9oRdwTnBDMgKEfjl,Dámelo To’ (feat. Myke Towers),79,3.07,2021,fast,0.787,0.641,8,-7.376,1,0.315,0.101,0.00534,0.07,0.437,182.003,4
